,0
bedrooms,3
bathrooms,2.016304348
guests,6.807544757
revenue,3832.643223
openness,30.36956522
hot_tub,0
pool,0
city_encoded,1.001278772
host_type Encoded,0
ID Encoded,2123.704604
Cluster,3
