,0
bedrooms,3.627014867
bathrooms,2.538157739
guests,9.423743721
revenue,6304.933038
openness,28.80865315
hot_tub,0.296010013
pool,0
city_encoded,1.235678162
host_type Encoded,0.984912809
ID Encoded,2634.733454
Cluster,-1
