,bedrooms,bathrooms,guests,revenue,openness,hot_tub,pool,city_encoded,host_type Encoded,ID Encoded,Cluster
0,3,3.0,10,9429.0,31,1.0,0.0,1,1,43,1
7,3,2.0,8,16531.0,31,1.0,0.0,1,1,980,1
14,3,2.0,10,13915.0,31,1.0,0.0,1,1,583,1
29,3,2.5,10,10277.0,29,1.0,0.0,1,1,531,1
6420,3,2.0,8,19595.0,31,1.0,0.0,1,1,980,1
6557,3,2.0,8,19400.0,30,1.0,0.0,1,1,1157,1
6666,3,2.0,8,19265.0,31,1.0,0.0,1,1,2057,1
6738,3,2.0,8,19154.0,30,1.0,0.0,1,1,1780,1
6810,3,2.0,8,19035.0,31,1.0,0.0,1,1,674,1
6847,3,2.0,9,18972.0,31,1.0,0.0,1,1,726,1
6883,3,2.0,8,18910.0,31,1.0,0.0,1,1,1157,1
6910,3,2.0,8,18867.0,31,1.0,0.0,1,1,2409,1
6976,3,2.0,6,18754.0,31,1.0,0.0,1,1,1220,1
7054,3,2.0,8,18631.0,31,1.0,0.0,1,1,1758,1
7058,3,2.0,8,18622.0,31,1.0,0.0,1,1,2057,1
7060,3,2.0,8,18619.0,31,1.0,0.0,1,1,1758,1
7063,3,2.0,9,18614.0,31,1.0,0.0,1,1,1358,1
7070,3,2.0,6,18607.0,31,1.0,0.0,1,1,1117,1
7139,3,2.0,6,18537.0,30,1.0,0.0,1,1,1117,1
7178,3,2.0,8,18494.0,31,1.0,0.0,1,1,1758,1
7207,3,2.0,8,18456.0,30,1.0,0.0,1,1,488,1
7225,3,2.0,7,18417.0,31,1.0,0.0,1,1,2046,1
7260,3,2.0,9,18380.0,31,1.0,0.0,1,1,2195,1
7275,3,2.0,8,18364.0,30,1.0,0.0,1,1,488,1
7295,3,2.0,8,18341.0,31,1.0,0.0,1,1,1691,1
7324,3,2.0,8,18301.0,30,1.0,0.0,1,1,980,1
7403,3,2.0,8,18212.0,31,1.0,0.0,1,1,2207,1
7432,3,2.0,8,18175.0,31,1.0,0.0,1,1,674,1
7440,3,2.0,8,18166.0,31,1.0,0.0,1,1,1360,1
7446,3,2.0,8,18154.0,31,1.0,0.0,1,1,1442,1
7510,3,2.0,6,18074.0,31,1.0,0.0,1,1,1220,1
7569,3,2.0,8,18008.0,28,1.0,0.0,1,1,1758,1
7648,3,2.0,8,17945.0,31,1.0,0.0,1,1,707,1
7675,3,2.0,7,17918.0,31,1.0,0.0,1,1,687,1
7746,3,2.0,8,17849.0,28,1.0,0.0,1,1,2304,1
7765,3,2.0,8,17806.0,31,1.0,0.0,1,1,1139,1
7795,3,2.0,8,17762.0,28,1.0,0.0,1,1,1795,1
7805,3,2.0,6,17750.0,30,1.0,0.0,1,1,2113,1
7963,3,2.5,7,17559.0,31,1.0,0.0,1,1,1148,1
7967,3,2.0,9,17553.0,31,1.0,0.0,1,1,1358,1
7970,3,2.0,6,17550.0,30,1.0,0.0,1,1,689,1
7989,3,2.0,8,17524.0,31,1.0,0.0,1,1,2207,1
7996,3,2.0,8,17519.0,31,1.0,0.0,1,1,2409,1
7998,3,2.0,7,17514.0,28,1.0,0.0,1,1,2046,1
8127,3,2.0,8,17381.0,31,1.0,0.0,1,1,1157,1
8137,3,2.0,8,17372.0,31,1.0,0.0,1,1,1795,1
8185,3,2.0,7,17311.0,30,1.0,0.0,1,1,469,1
8188,3,2.0,8,17308.0,31,1.0,0.0,1,1,1442,1
8208,3,2.0,10,17290.0,31,1.0,0.0,1,1,903,1
8221,3,2.0,8,17275.0,31,1.0,0.0,1,1,980,1
8223,3,2.0,10,17270.0,31,1.0,0.0,1,1,1095,1
8263,3,2.0,9,17214.0,30,1.0,0.0,1,1,1358,1
8291,3,2.0,6,17191.0,31,1.0,0.0,1,1,1220,1
8295,3,2.0,8,17188.0,31,1.0,0.0,1,1,2304,1
8311,3,2.0,8,17177.0,31,1.0,0.0,1,1,1758,1
8314,3,2.0,10,17175.0,31,1.0,0.0,1,1,2112,1
8323,3,2.0,9,17160.0,31,1.0,0.0,1,1,726,1
8366,3,2.0,8,17110.0,31,1.0,0.0,1,1,1157,1
8389,3,2.0,8,17089.0,28,1.0,0.0,1,1,1780,1
8425,3,2.0,8,17054.0,31,1.0,0.0,1,1,2207,1
8446,3,2.5,7,17047.0,31,1.0,0.0,1,1,2271,1
8447,3,2.0,8,17043.0,31,1.0,0.0,1,1,1795,1
8458,3,2.0,8,17027.0,31,1.0,0.0,1,1,707,1
8530,3,2.5,9,16969.0,31,1.0,0.0,1,1,242,1
8543,3,2.0,10,16961.0,31,1.0,0.0,1,1,234,1
8570,3,2.0,7,16935.0,31,1.0,0.0,1,1,1784,1
8606,3,2.0,8,16897.0,28,1.0,0.0,1,1,2057,1
8627,3,2.0,8,16877.0,31,1.0,0.0,1,1,1691,1
8632,3,2.0,10,16873.0,31,1.0,0.0,1,1,234,1
8634,3,2.5,8,16871.0,31,1.0,0.0,1,1,201,1
8640,3,2.5,8,16861.0,31,1.0,0.0,1,1,1924,1
8745,3,2.0,7,16752.0,31,1.0,0.0,1,1,1078,1
8747,3,2.0,7,16751.0,31,1.0,0.0,1,1,1784,1
8762,3,2.0,9,16741.0,31,1.0,0.0,1,1,1358,1
8791,3,2.0,6,16716.0,30,1.0,0.0,1,1,1220,1
8807,3,2.0,7,16688.0,30,1.0,0.0,1,1,687,1
8808,3,2.0,8,16688.0,31,1.0,0.0,1,1,1139,1
8823,3,2.0,9,16674.0,31,1.0,0.0,1,1,2195,1
8830,3,2.0,7,16663.0,31,1.0,0.0,1,1,1078,1
8834,3,2.0,7,16659.0,31,1.0,0.0,1,1,1784,1
8860,3,2.0,8,16624.0,31,1.0,0.0,1,1,1795,1
8901,3,2.0,9,16580.0,31,1.0,0.0,1,1,1358,1
8910,3,2.5,8,16575.0,31,1.0,0.0,1,1,11,1
8927,3,1.5,6,16550.0,31,1.0,0.0,1,1,2241,1
8955,3,2.5,8,16516.0,31,1.0,0.0,1,1,1924,1
9005,3,2.0,8,16481.0,31,1.0,0.0,1,1,980,1
9018,3,2.0,7,16461.0,31,1.0,0.0,1,1,1078,1
9049,3,2.0,8,16430.0,31,1.0,0.0,1,1,2338,1
9056,3,2.0,8,16423.0,30,1.0,0.0,1,1,2338,1
9068,3,2.5,9,16415.0,31,1.0,0.0,1,1,242,1
9071,3,2.0,8,16410.0,31,1.0,0.0,1,1,86,1
9072,3,2.5,9,16408.0,31,1.0,0.0,1,1,1753,1
9073,3,2.0,8,16408.0,30,1.0,0.0,1,1,2207,1
9084,3,2.0,8,16394.0,28,1.0,0.0,1,1,980,1
9101,3,2.0,8,16377.0,31,1.0,0.0,1,1,2057,1
9109,3,1.5,9,16374.0,30,1.0,0.0,1,1,915,1
9134,3,2.0,8,16355.0,31,1.0,0.0,1,1,1758,1
9157,3,2.0,10,16335.0,31,1.0,0.0,1,1,2081,1
9160,3,2.0,8,16332.0,30,1.0,0.0,1,1,1139,1
9162,3,2.0,7,16332.0,31,1.0,0.0,1,1,2122,1
9185,3,2.0,10,16304.0,31,1.0,0.0,1,1,1095,1
9205,3,2.0,8,16279.0,31,1.0,0.0,1,1,1006,1
9209,3,2.5,8,16276.0,31,1.0,0.0,1,1,925,1
9220,3,2.0,8,16258.0,31,1.0,0.0,1,1,2409,1
9237,3,2.5,7,16249.0,31,1.0,0.0,1,1,2134,1
9238,3,2.0,8,16248.0,31,1.0,0.0,1,1,980,1
9268,3,2.0,9,16210.0,30,1.0,0.0,1,1,1358,1
9273,3,2.0,8,16206.0,30,1.0,0.0,1,1,1758,1
9278,3,2.0,8,16202.0,28,1.0,0.0,1,1,1758,1
9306,3,2.5,8,16185.0,31,1.0,0.0,1,1,364,1
9322,3,2.0,8,16174.0,31,1.0,0.0,1,1,1139,1
9365,3,2.0,9,16143.0,31,1.0,0.0,1,1,2232,1
9367,3,2.0,8,16142.0,30,1.0,0.0,1,1,1139,1
