,bedrooms,bathrooms,guests,revenue,openness,hot_tub,pool,city_encoded,host_type Encoded,ID Encoded,Cluster
19056,3,2.0,7,10930.0,31,0.0,0.0,1,0,2713,3
19151,3,2.0,7,10898.0,30,0.0,0.0,1,0,3140,3
19602,3,2.0,7,10750.0,31,0.0,0.0,1,0,2063,3
19717,3,2.0,7,10716.0,31,0.0,0.0,1,0,2750,3
19801,3,2.0,7,10690.0,30,0.0,0.0,1,0,2713,3
20104,3,2.0,7,10588.0,31,0.0,0.0,1,0,2750,3
20298,3,2.0,6,10530.0,31,0.0,0.0,1,0,2972,3
20310,3,2.0,7,10525.0,31,0.0,0.0,1,0,2664,3
20529,3,2.0,6,10460.0,31,0.0,0.0,1,0,2972,3
20563,3,2.0,7,10450.0,31,0.0,0.0,1,0,2664,3
20641,3,2.0,8,10430.0,30,0.0,0.0,1,0,2539,3
20724,3,2.0,6,10400.0,30,0.0,0.0,1,0,1705,3
20789,3,2.0,7,10377.0,30,0.0,0.0,1,0,2750,3
21030,3,2.0,8,10300.0,31,0.0,0.0,1,0,1882,3
21062,3,2.0,7,10290.0,31,0.0,0.0,1,0,2713,3
21550,3,2.0,6,10145.0,31,0.0,0.0,1,0,1032,3
21567,3,2.0,7,10141.0,28,0.0,0.0,1,0,2750,3
21579,3,2.0,8,10135.0,31,0.0,0.0,1,0,994,3
21641,3,2.0,6,10113.0,31,0.0,0.0,1,0,2163,3
21688,3,2.0,8,10100.0,31,0.0,0.0,1,0,1882,3
21690,3,2.0,7,10100.0,30,0.0,0.0,1,0,2664,3
21881,3,2.0,6,10045.0,31,0.0,0.0,1,0,1032,3
22189,3,2.0,7,9955.0,31,0.0,0.0,1,0,2713,3
22239,3,2.0,6,9945.0,31,0.0,0.0,1,0,1032,3
22432,3,2.0,6,9878.0,31,0.0,0.0,1,0,2260,3
22732,3,2.0,7,9790.0,30,0.0,0.0,1,0,2713,3
22790,3,2.0,7,9774.0,31,0.0,0.0,1,0,2750,3
22870,3,2.0,8,9750.0,31,0.0,0.0,1,0,994,3
23071,3,2.0,8,9698.0,31,0.0,0.0,1,0,3078,3
