,bedrooms,bathrooms,guests,revenue,openness,hot_tub,pool,city_encoded,host_type Encoded,ID Encoded,Cluster
10908,3,2.0,8,14950.0,31,0.0,0.0,1,2,3154,2
11861,3,2.0,9,14300.0,31,0.0,0.0,1,2,3213,2
11949,3,2.0,8,14247.0,30,0.0,0.0,1,2,2643,2
12322,3,2.0,7,14000.0,31,0.0,0.0,1,2,4512,2
12565,3,2.0,8,13870.0,31,0.0,0.0,1,2,1655,2
12668,3,2.5,8,13800.0,31,0.0,0.0,1,2,2613,2
12714,3,2.0,8,13780.0,31,0.0,0.0,1,2,1655,2
12922,3,2.0,8,13650.0,30,0.0,0.0,1,2,2730,2
12923,3,2.0,8,13650.0,31,0.0,0.0,1,2,2730,2
12940,3,2.0,8,13641.0,31,0.0,0.0,1,2,3289,2
13134,3,2.0,7,13531.0,31,0.0,0.0,1,2,1703,2
13174,3,2.0,8,13506.0,31,0.0,0.0,0,2,3413,2
13206,3,2.0,10,13500.0,30,0.0,0.0,1,2,3364,2
13296,3,2.0,8,13453.0,30,0.0,0.0,1,2,2643,2
13326,3,2.0,6,13438.0,30,0.0,0.0,1,2,4070,2
13335,3,2.0,10,13432.0,31,0.0,0.0,1,2,2904,2
13447,3,2.5,7,13359.0,31,0.0,0.0,1,2,3150,2
13486,3,2.0,8,13334.0,31,0.0,0.0,1,2,2643,2
13520,3,2.0,6,13309.0,31,0.0,0.0,1,2,3090,2
13545,3,2.5,7,13299.0,31,0.0,0.0,1,2,3150,2
13660,3,2.0,6,13230.0,31,0.0,0.0,1,2,3090,2
13687,3,2.5,9,13216.0,31,0.0,0.0,1,2,3445,2
13691,3,2.0,8,13214.0,31,0.0,0.0,1,2,1655,2
13741,3,2.0,8,13189.0,31,0.0,0.0,0,2,2128,2
13770,3,2.0,9,13175.0,31,0.0,0.0,1,2,3203,2
13800,3,2.0,8,13160.0,31,0.0,0.0,1,2,3225,2
14013,3,2.0,8,13056.0,31,0.0,0.0,0,2,2488,2
14028,3,2.0,6,13050.0,31,0.0,0.0,1,2,1715,2
14103,3,2.0,8,13017.0,31,0.0,0.0,1,2,3289,2
14121,3,2.0,8,13002.0,31,0.0,0.0,1,2,3946,2
14133,3,2.5,8,13000.0,30,0.0,0.0,1,2,2613,2
14147,3,2.0,8,12990.0,30,0.0,0.0,1,2,3289,2
14186,3,2.0,8,12975.0,31,0.0,0.0,1,2,3634,2
14191,3,2.0,10,12974.0,30,0.0,0.0,1,2,2904,2
14192,3,2.0,10,12973.0,30,0.0,0.0,1,2,3487,2
14267,3,2.0,6,12932.0,31,0.0,0.0,1,2,3090,2
14293,3,2.0,8,12923.0,28,0.0,0.0,1,2,3536,2
14386,3,2.5,8,12875.0,30,0.0,0.0,1,2,2613,2
14436,3,2.0,6,12852.0,31,0.0,0.0,1,2,4070,2
14439,3,2.0,6,12851.0,31,0.0,0.0,1,2,3122,2
14445,3,2.5,8,12850.0,30,0.0,0.0,1,2,2613,2
14447,3,2.0,8,12850.0,31,0.0,0.0,1,2,3154,2
14489,3,2.0,8,12825.0,30,0.0,0.0,0,2,4104,2
14500,3,2.0,8,12820.0,31,0.0,0.0,1,2,3861,2
14557,3,2.0,6,12798.0,31,0.0,0.0,1,2,3090,2
14577,3,2.0,10,12785.0,31,0.0,0.0,1,2,3501,2
14702,3,2.0,8,12725.0,31,0.0,0.0,1,2,2677,2
14779,3,2.0,8,12684.0,28,0.0,0.0,0,2,3971,2
14802,3,2.0,6,12675.0,28,0.0,0.0,1,2,3090,2
14803,3,2.0,6,12675.0,28,0.0,0.0,1,2,4034,2
14855,3,2.0,8,12650.0,30,0.0,0.0,1,2,3634,2
