,bedrooms,bathrooms,guests,revenue,openness,hot_tub,pool,city_encoded,host_type Encoded,ID Encoded,Cluster
36977,4,3.0,10,6730.0,30,0.0,0.0,1,1,2990,4
36990,4,2.0,10,6728.0,30,0.0,0.0,1,1,3022,4
37216,4,2.0,8,6688.0,30,0.0,0.0,1,1,2934,4
37217,4,2.0,8,6688.0,31,0.0,0.0,1,1,2934,4
37218,4,2.0,8,6688.0,30,0.0,0.0,1,1,2934,4
37219,4,2.0,8,6688.0,30,0.0,0.0,1,1,2934,4
37246,4,2.5,12,6684.0,30,0.0,0.0,1,1,3246,4
37351,4,3.0,10,6668.0,31,0.0,0.0,1,1,3054,4
37470,4,3.0,8,6647.0,30,0.0,0.0,1,1,3096,4
37474,4,3.0,10,6646.0,30,0.0,0.0,1,1,2719,4
37548,4,3.0,10,6635.0,30,0.0,0.0,1,1,3715,4
37618,4,2.0,10,6624.0,31,0.0,0.0,1,1,3103,4
37643,4,2.0,9,6620.0,31,0.0,0.0,1,1,3201,4
37729,4,3.0,10,6606.0,29,0.0,0.0,1,1,1922,4
37902,4,2.5,12,6579.0,30,0.0,0.0,1,1,4318,4
37913,4,2.0,9,6576.0,30,0.0,0.0,1,1,2204,4
38130,4,3.0,11,6538.0,30,0.0,0.0,1,1,4150,4
38142,4,2.0,9,6534.0,31,0.0,0.0,1,1,2697,4
38395,4,2.0,9,6498.0,31,0.0,0.0,1,1,2204,4
38471,4,3.0,11,6488.0,31,0.0,0.0,1,1,4150,4
38545,4,2.0,9,6473.0,31,0.0,0.0,1,1,2941,4
38695,4,3.0,10,6450.0,30,0.0,0.0,1,1,5105,4
38745,4,2.5,12,6441.0,28,0.0,0.0,1,1,3246,4
38765,4,2.5,12,6438.0,31,0.0,0.0,1,1,3246,4
38772,4,2.5,11,6437.0,31,0.0,0.0,1,1,4896,4
39077,4,2.5,12,6386.0,31,0.0,0.0,1,1,3963,4
39194,4,3.0,10,6366.0,31,0.0,0.0,1,1,3054,4
39321,4,3.0,10,6349.0,30,0.0,0.0,1,1,2606,4
39322,4,2.5,8,6349.0,31,0.0,0.0,1,1,2692,4
39401,4,2.0,9,6334.0,31,0.0,0.0,1,1,3201,4
39427,4,3.0,11,6329.0,31,0.0,0.0,1,1,4150,4
39474,4,2.0,10,6321.0,30,0.0,0.0,1,1,3103,4
39497,4,3.0,10,6318.0,30,0.0,0.0,1,1,3054,4
39502,4,2.0,10,6317.0,31,0.0,0.0,1,1,3072,4
39510,4,3.0,10,6315.0,31,0.0,0.0,1,1,2719,4
39569,4,2.5,11,6303.0,31,0.0,0.0,1,1,5204,4
39582,4,3.0,12,6301.0,30,0.0,0.0,1,1,3320,4
39653,4,2.5,12,6295.0,31,0.0,0.0,1,1,3543,4
39659,4,2.0,9,6293.0,31,0.0,0.0,1,1,2204,4
39682,4,2.0,9,6290.0,31,0.0,0.0,1,1,2204,4
39717,4,2.0,8,6285.0,30,0.0,0.0,1,1,3106,4
39761,4,2.0,12,6280.0,31,0.0,0.0,1,1,3629,4
39774,4,2.0,9,6278.0,30,0.0,0.0,1,1,2697,4
39818,4,3.0,12,6270.0,30,0.0,0.0,1,1,3515,4
39856,4,3.0,12,6264.0,30,0.0,0.0,1,1,3691,4
39916,4,3.0,8,6254.0,30,0.0,0.0,1,1,3096,4
39963,4,2.5,8,6248.0,31,0.0,0.0,1,1,2692,4
40064,4,3.0,10,6232.0,31,0.0,0.0,1,1,3715,4
40073,4,2.0,9,6231.0,30,0.0,0.0,1,1,3201,4
40086,4,2.5,12,6228.0,28,0.0,0.0,1,1,3246,4
40210,4,3.0,9,6201.0,29,0.0,0.0,1,1,1927,4
40298,4,3.0,12,6194.0,31,0.0,0.0,1,1,3806,4
40461,4,2.0,9,6170.0,30,0.0,0.0,1,1,4493,4
40589,4,3.0,10,6150.0,31,0.0,0.0,1,1,2083,4
40647,4,3.0,10,6143.0,30,0.0,0.0,1,1,2719,4
40799,4,3.0,10,6118.0,30,0.0,0.0,1,1,2606,4
40835,4,3.0,10,6112.0,30,0.0,0.0,1,1,2606,4
40836,4,2.0,8,6112.0,31,0.0,0.0,1,1,3106,4
40863,4,2.0,12,6106.0,31,0.0,0.0,1,1,2999,4
40875,4,2.5,8,6103.0,28,0.0,0.0,1,1,4430,4
40904,4,2.5,8,6100.0,30,0.0,0.0,1,1,3562,4
40941,4,3.0,8,6094.0,30,0.0,0.0,1,1,3396,4
40974,4,2.0,10,6088.0,31,0.0,0.0,1,1,3072,4
40976,4,2.0,8,6088.0,31,0.0,0.0,1,1,3408,4
40999,4,2.0,8,6084.0,31,0.0,0.0,1,1,4152,4
41106,4,3.0,11,6064.0,30,0.0,0.0,1,1,4150,4
41203,4,3.0,10,6050.0,30,0.0,0.0,1,1,5105,4
