,0
bedrooms,3
bathrooms,2.0774225
guests,7.588340807
revenue,3698.059466
openness,30.26313121
hot_tub,0
pool,0
city_encoded,0.720140378
host_type Encoded,1
ID Encoded,3048.366777
Cluster,0
