,0
bedrooms,3
bathrooms,2.18182581
guests,7.900151032
revenue,5339.509481
openness,30.30458131
hot_tub,1
pool,0
city_encoded,0.957543212
host_type Encoded,1
ID Encoded,1218.474073
Cluster,1
