,bedrooms,bathrooms,guests,revenue,openness,hot_tub,pool,city_encoded,host_type Encoded,ID Encoded,Cluster
5656,3,2.0,8,20906.0,31,0.0,0.0,1,1,3331,0
5723,3,2.0,8,20790.0,31,0.0,0.0,1,1,3357,0
5841,3,2.0,8,20549.0,31,0.0,0.0,1,1,3331,0
5932,3,2.0,6,20364.0,31,0.0,0.0,1,1,3202,0
5987,3,2.0,9,20264.0,31,0.0,0.0,1,1,3063,0
6003,3,2.0,8,20245.0,31,0.0,0.0,1,1,4079,0
6057,3,2.0,8,20178.0,31,0.0,0.0,1,1,3410,0
6142,3,2.0,6,20044.0,31,0.0,0.0,1,1,2976,0
6154,3,2.0,7,20021.0,31,0.0,0.0,1,1,3173,0
6226,3,2.0,8,19922.0,31,0.0,0.0,1,1,3129,0
6304,3,2.0,8,19785.0,31,0.0,0.0,1,1,4229,0
6361,3,2.0,8,19683.0,31,0.0,0.0,1,1,1785,0
6426,3,2.0,6,19587.0,31,0.0,0.0,1,1,4418,0
6466,3,1.5,7,19514.0,31,0.0,0.0,1,1,3340,0
6481,3,2.0,7,19500.0,30,0.0,0.0,1,1,2627,0
6492,3,2.0,9,19499.0,31,0.0,0.0,1,1,2560,0
6545,3,2.0,6,19424.0,31,0.0,0.0,1,1,4361,0
6583,3,2.0,9,19375.0,31,0.0,0.0,1,1,3452,0
6595,3,2.0,6,19361.0,31,0.0,0.0,1,1,2669,0
6599,3,2.0,8,19356.0,28,0.0,0.0,1,1,3357,0
6633,3,2.0,8,19321.0,30,0.0,0.0,1,1,3846,0
6644,3,2.0,8,19292.0,31,0.0,0.0,1,1,3410,0
6679,3,2.0,8,19247.0,30,0.0,0.0,1,1,3331,0
6709,3,2.0,8,19191.0,31,0.0,0.0,1,1,2978,0
6730,3,2.0,8,19167.0,30,0.0,0.0,1,1,3622,0
6748,3,2.0,6,19132.0,31,0.0,0.0,1,1,3419,0
6753,3,2.0,6,19127.0,31,0.0,0.0,1,1,3550,0
6758,3,1.5,7,19117.0,31,0.0,0.0,1,1,3340,0
6778,3,2.0,8,19080.0,31,0.0,0.0,1,1,3129,0
6804,3,2.0,8,19050.0,31,0.0,0.0,1,1,1356,0
6833,3,2.0,7,18998.0,31,0.0,0.0,1,1,3173,0
6876,3,2.0,8,18925.0,31,0.0,0.0,1,1,3216,0
6914,3,2.5,9,18858.0,31,0.0,0.0,1,1,2559,0
6921,3,2.5,6,18850.0,30,0.0,0.0,1,1,2967,0
6942,3,2.0,5,18810.0,30,0.0,0.0,1,1,3546,0
6951,3,2.0,7,18790.0,31,0.0,0.0,1,1,3278,0
6997,3,2.5,6,18725.0,30,0.0,0.0,1,1,2967,0
7016,3,2.0,8,18678.0,30,0.0,0.0,1,1,3467,0
7036,3,2.0,9,18649.0,31,0.0,0.0,1,1,3037,0
7037,3,2.0,7,18649.0,31,0.0,0.0,1,1,3694,0
7068,3,2.0,7,18610.0,31,0.0,0.0,1,1,3278,0
7073,3,2.0,6,18606.0,31,0.0,0.0,1,1,4419,0
7083,3,2.0,8,18600.0,31,0.0,0.0,1,1,2679,0
7084,3,2.0,8,18600.0,31,0.0,0.0,1,1,2679,0
7134,3,2.0,7,18549.0,31,0.0,0.0,1,1,2590,0
7158,3,2.0,8,18516.0,31,0.0,0.0,1,1,3467,0
7210,3,2.0,8,18450.0,31,0.0,0.0,1,1,2984,0
7258,3,2.0,8,18381.0,28,0.0,0.0,1,1,3129,0
7267,3,2.0,8,18374.0,30,0.0,0.0,1,1,1785,0
